iter	Passed	Remaining
581	2766	1986
582	2769	1980
583	2772	1974
584	2775	1968
585	2778	1962
586	2781	1956
587	2784	1950
588	2787	1944
589	2789	1938
590	2792	1932
591	2795	1926
592	2798	1920
593	2801	1914
594	2803	1908
595	2807	1903
596	2810	1897
597	2813	1891
598	2816	1885
599	2818	1879
600	2823	1874
601	2826	1868
602	2829	1862
603	2832	1856
604	2835	1850
605	2837	1845
606	2840	1839
607	2843	1833
608	2846	1827
609	2849	1821
610	2852	1816
611	2855	1810
612	2858	1804
613	2861	1798
614	2864	1793
615	2867	1787
616	2870	1781
617	2873	1776
618	2876	1770
619	2879	1764
620	2882	1759
621	2885	1753
622	2888	1747
623	2891	1742
624	2894	1736
625	2897	1731
626	2900	1725
627	2903	1719
628	2906	1714
629	2910	1709
630	2912	1703
631	2915	1697
632	2918	1691
633	2921	1686
634	2924	1681
635	2927	1675
636	2930	1669
637	2933	1664
638	2936	1659
639	2940	1653
640	2942	1648
641	2945	1642
642	2948	1636
643	2951	1631
644	2955	1626
645	2957	1620
646	2960	1615
647	2963	1609
648	2965	1604
649	2969	1598
650	2972	1593
651	2974	1587
652	2977	1582
653	2980	1576
654	2984	1571
655	2986	1566
656	2989	1560
657	2992	1555
658	2995	1549
659	2998	1544
660	3001	1539
661	3003	1533
662	3006	1528
663	3009	1523
664	3013	1517
665	3015	1512
666	3018	1507
667	3021	1501
668	3024	1496
669	3027	1490
670	3029	1485
671	3032	1480
672	3035	1474
673	3038	1469
674	3041	1464
675	3044	1459
676	3046	1453
677	3049	1448
678	3051	1442
679	3055	1437
680	3057	1432
681	3060	1427
682	3063	1421
683	3065	1416
684	3068	1411
685	3071	1406
686	3074	1400
687	3077	1395
688	3080	1390
689	3083	1385
690	3086	1380
691	3089	1375
692	3092	1369
693	3095	1364
694	3098	1359
695	3101	1354
696	3104	1349
697	3106	1344
698	3109	1338
699	3111	1333
700	3115	1328
701	3118	1323
702	3120	1318
703	3123	1313
704	3125	1307
705	3129	1303
706	3131	1297
707	3134	1292
708	3137	1287
709	3139	1282
710	3142	1277
711	3145	1272
712	3147	1267
713	3150	1262
714	3153	1256
715	3155	1251
716	3159	1246
717	3161	1241
718	3164	1236
719	3167	1231
720	3169	1226
721	3172	1221
722	3174	1216
723	3177	1211
724	3180	1206
725	3183	1201
726	3185	1196
727	3188	1191
728	3191	1186
729	3194	1181
730	3196	1176
731	3199	1171
732	3202	1166
733	3204	1161
734	3207	1156
735	3210	1151
736	3212	1146
737	3216	1141
738	3218	1136
739	3221	1131
740	3224	1126
741	3226	1121
742	3230	1117
743	3232	1112
744	3235	1107
745	3238	1102
746	3240	1097
747	3243	1092
748	3246	1087
749	3248	1082
750	3251	1077
751	3253	1073
752	3256	1068
753	3259	1063
754	3262	1058
755	3264	1053
756	3267	1048
757	3270	1043
758	3273	1039
759	3276	1034
760	3278	1029
761	3281	1024
762	3284	1020
763	3287	1015
764	3290	1010
765	3292	1005
766	3295	1001
767	3298	996
768	3301	991
769	3304	987
770	3307	982
771	3309	977
772	3312	972
773	3316	968
774	3319	963
775	3321	958
776	3324	954
777	3326	949
778	3329	944
779	3333	940
780	3336	935
781	3340	931
782	3343	926
783	3347	922
784	3351	917
785	3353	913
786	3356	908
787	3359	903
788	3364	899
789	3367	895
790	3370	890
791	3372	885
792	3375	881
793	3378	876
794	3381	871
795	3383	867
796	3386	862
797	3390	858
798	3392	853
799	3395	848
800	3398	844
801	3401	839
802	3404	835
803	3407	830
804	3409	825
805	3412	821
806	3415	816
807	3418	812
808	3421	807
809	3423	803
810	3426	798
811	3429	793
812	3432	789
813	3435	784
814	3437	780
815	3440	775
816	3443	771
817	3446	766
818	3449	762
819	3451	757
820	3454	753
821	3457	748
822	3461	744
823	3464	740
824	3468	735
825	3471	731
826	3475	726
827	3478	722
828	3481	718
829	3485	713
830	3489	709
831	3493	705
832	3495	700
833	3498	696
834	3501	691
835	3504	687
836	3507	683
837	3510	678
838	3512	674
839	3515	669
840	3518	665
841	3522	661
842	3526	656
843	3529	652
844	3532	647
845	3535	643
846	3537	639
847	3540	634
848	3543	630
849	3546	625
850	3549	621
851	3552	617
852	3555	612
853	3557	608
854	3560	603
855	3562	599
856	3565	594
857	3568	590
858	3570	586
859	3573	581
860	3576	577
861	3579	572
862	3581	568
863	3584	564
864	3587	559
865	3589	555
866	3593	551
867	3595	546
868	3598	542
869	3600	538
870	3603	533
871	3607	529
872	3609	525
873	3612	520
874	3614	516
875	3617	512
876	3620	507
877	3623	503
878	3626	499
879	3628	494
880	3631	490
881	3634	486
882	3636	481
883	3639	477
884	3641	473
885	3644	468
886	3647	464
887	3650	460
888	3653	456
889	3656	451
890	3658	447
891	3661	443
892	3664	439
893	3666	434
894	3669	430
895	3672	426
896	3674	421
897	3678	417
898	3681	413
899	3683	409
900	3686	405
901	3688	400
902	3692	396
903	3695	392
904	3697	388
905	3700	383
906	3703	379
907	3705	375
908	3708	371
909	3711	367
910	3714	362
911	3717	358
912	3720	354
913	3723	350
914	3726	346
915	3728	341
916	3731	337
917	3733	333
918	3736	329
919	3739	325
920	3742	321
921	3745	316
922	3747	312
923	3751	308
924	3754	304
925	3757	300
926	3760	296
927	3762	291
928	3766	287
929	3769	283
930	3772	279
931	3774	275
932	3777	271
933	3782	267
934	3785	263
935	3787	258
936	3790	254
937	3794	250
938	3797	246
939	3800	242
940	3803	238
941	3805	234
942	3808	230
943	3811	226
944	3814	222
945	3817	217
946	3820	213
947	3823	209
948	3826	205
949	3828	201
950	3831	197
951	3834	193
952	3837	189
953	3840	185
954	3843	181
955	3845	176
956	3848	172
957	3851	168
958	3854	164
959	3856	160
960	3859	156
961	3862	152
962	3865	148
963	3884	145
964	3886	140
965	3888	136
966	3891	132
967	3894	128
968	3897	124
969	3900	120
970	3903	116
971	3906	112
972	3908	108
973	3911	104
974	3914	100
975	3917	96
976	3919	92
977	3922	88
978	3926	84
979	3929	80
980	3932	76
981	3934	72
982	3937	68
983	3940	64
984	3943	60
985	3945	56
986	3948	52
987	3950	47
988	3953	43
989	3957	39
990	3959	35
991	3962	31
992	3964	27
993	3967	23
994	3970	19
995	3972	15
996	3975	11
997	3977	7
998	3980	3
999	3984	0
